,algoritmo,instancia,distribuicao,tempo_execucao_s,tempo_execucao_ms
0,insertionSort,200,C,0.0,0.17
1,insertionSort,200,D,0.02,20.27
2,insertionSort,200,A,0.01,12.55
3,insertionSort,200,M,0.01,6.44
4,insertionSort,100,C,0.0,0.22
5,insertionSort,100,D,0.0,4.25
6,insertionSort,100,A,0.0,2.4
7,insertionSort,100,M,0.0,2.52
8,insertionSort,50,C,0.0,0.08
9,insertionSort,50,D,0.0,1.22
10,insertionSort,50,A,0.0,0.63
11,insertionSort,50,M,0.0,0.54
12,insertionSort,20,C,0.0,0.05
13,insertionSort,20,D,0.0,0.22
14,insertionSort,20,A,0.0,0.11
15,insertionSort,20,M,0.0,0.12
16,insertionSort,10,C,0.0,0.03
17,insertionSort,10,D,0.0,0.08
18,insertionSort,10,A,0.0,0.06
19,insertionSort,10,M,0.0,0.06
20,selectionSort,200,C,0.01,9.15
21,selectionSort,200,D,0.01,9.58
22,selectionSort,200,A,0.01,9.68
23,selectionSort,200,M,0.01,8.53
24,selectionSort,100,C,0.0,2.68
25,selectionSort,100,D,0.0,2.42
26,selectionSort,100,A,0.0,2.29
27,selectionSort,100,M,0.0,2.52
28,selectionSort,50,C,0.0,0.77
29,selectionSort,50,D,0.0,0.8
30,selectionSort,50,A,0.0,0.75
31,selectionSort,50,M,0.0,0.69
32,selectionSort,20,C,0.0,0.17
33,selectionSort,20,D,0.0,0.18
34,selectionSort,20,A,0.0,0.22
35,selectionSort,20,M,0.0,0.23
36,selectionSort,10,C,0.0,0.04
37,selectionSort,10,D,0.0,0.08
38,selectionSort,10,A,0.0,0.09
39,selectionSort,10,M,0.0,0.04
40,mergeSort,200,C,0.0,1.93
41,mergeSort,200,D,0.0,1.62
42,mergeSort,200,A,0.0,1.84
43,mergeSort,200,M,0.0,1.72
44,mergeSort,100,C,0.0,1.11
45,mergeSort,100,D,0.0,0.82
46,mergeSort,100,A,0.0,0.78
47,mergeSort,100,M,0.0,0.97
48,mergeSort,50,C,0.0,0.34
49,mergeSort,50,D,0.0,0.48
50,mergeSort,50,A,0.0,0.49
51,mergeSort,50,M,0.0,0.4
52,mergeSort,20,C,0.0,0.14
53,mergeSort,20,D,0.0,0.19
54,mergeSort,20,A,0.0,0.19
55,mergeSort,20,M,0.0,0.19
56,mergeSort,10,C,0.0,0.09
57,mergeSort,10,D,0.0,0.14
58,mergeSort,10,A,0.0,0.12
59,mergeSort,10,M,0.0,0.13
60,heapSort,200,C,0.0,3.98
61,heapSort,200,D,0.0,2.7
62,heapSort,200,A,0.0,2.65
63,heapSort,200,M,0.0,2.96
64,heapSort,100,C,0.0,1.64
65,heapSort,100,D,0.0,1.06
66,heapSort,100,A,0.0,1.29
67,heapSort,100,M,0.0,1.49
68,heapSort,50,C,0.0,0.82
69,heapSort,50,D,0.0,0.55
70,heapSort,50,A,0.0,0.6
71,heapSort,50,M,0.0,0.57
72,heapSort,20,C,0.0,0.22
73,heapSort,20,D,0.0,0.45
74,heapSort,20,A,0.0,0.27
75,heapSort,20,M,0.0,0.25
76,heapSort,10,C,0.0,0.07
77,heapSort,10,D,0.0,0.1
78,heapSort,10,A,0.0,0.11
79,heapSort,10,M,0.0,0.12
