,algoritmo,instancia,distribuicao,tempo_execucao_s,tempo_execucao_ms
0,insertionSort,200,C,0.0,0.0
1,insertionSort,200,D,0.03,30.0
2,insertionSort,200,A,0.02,20.0
3,insertionSort,200,M,0.01,10.0
4,insertionSort,100,C,0.0,0.0
5,insertionSort,100,D,0.01,10.0
6,insertionSort,100,A,0.0,0.0
7,insertionSort,100,M,0.0,0.0
8,insertionSort,50,C,0.0,0.0
9,insertionSort,50,D,0.0,0.0
10,insertionSort,50,A,0.0,0.0
11,insertionSort,50,M,0.0,0.0
12,insertionSort,20,C,0.0,0.0
13,insertionSort,20,D,0.0,0.0
14,insertionSort,20,A,0.0,0.0
15,insertionSort,20,M,0.0,0.0
16,insertionSort,10,C,0.0,0.0
17,insertionSort,10,D,0.0,0.0
18,insertionSort,10,A,0.0,0.0
19,insertionSort,10,M,0.0,0.0
20,selectionSort,200,C,0.02,20.0
21,selectionSort,200,D,0.01,10.0
22,selectionSort,200,A,0.01,10.0
23,selectionSort,200,M,0.01,10.0
24,selectionSort,100,C,0.0,0.0
25,selectionSort,100,D,0.0,0.0
26,selectionSort,100,A,0.0,0.0
27,selectionSort,100,M,0.0,0.0
28,selectionSort,50,C,0.0,0.0
29,selectionSort,50,D,0.0,0.0
30,selectionSort,50,A,0.0,0.0
31,selectionSort,50,M,0.0,0.0
32,selectionSort,20,C,0.0,0.0
33,selectionSort,20,D,0.0,0.0
34,selectionSort,20,A,0.0,0.0
35,selectionSort,20,M,0.0,0.0
36,selectionSort,10,C,0.0,0.0
37,selectionSort,10,D,0.0,0.0
38,selectionSort,10,A,0.0,0.0
39,selectionSort,10,M,0.0,0.0
40,mergeSort,200,C,0.0,0.0
41,mergeSort,200,D,0.0,0.0
42,mergeSort,200,A,0.0,0.0
43,mergeSort,200,M,0.0,0.0
44,mergeSort,100,C,0.0,0.0
45,mergeSort,100,D,0.0,0.0
46,mergeSort,100,A,0.0,0.0
47,mergeSort,100,M,0.0,0.0
48,mergeSort,50,C,0.0,0.0
49,mergeSort,50,D,0.0,0.0
50,mergeSort,50,A,0.0,0.0
51,mergeSort,50,M,0.0,0.0
52,mergeSort,20,C,0.0,0.0
53,mergeSort,20,D,0.0,0.0
54,mergeSort,20,A,0.0,0.0
55,mergeSort,20,M,0.0,0.0
56,mergeSort,10,C,0.0,0.0
57,mergeSort,10,D,0.0,0.0
58,mergeSort,10,A,0.0,0.0
59,mergeSort,10,M,0.0,0.0
60,heapSort,200,C,0.0,0.0
61,heapSort,200,D,0.0,0.0
62,heapSort,200,A,0.0,0.0
63,heapSort,200,M,0.0,0.0
64,heapSort,100,C,0.0,0.0
65,heapSort,100,D,0.0,0.0
66,heapSort,100,A,0.0,0.0
67,heapSort,100,M,0.0,0.0
68,heapSort,50,C,0.0,0.0
69,heapSort,50,D,0.0,0.0
70,heapSort,50,A,0.0,0.0
71,heapSort,50,M,0.0,0.0
72,heapSort,20,C,0.0,0.0
73,heapSort,20,D,0.0,0.0
74,heapSort,20,A,0.0,0.0
75,heapSort,20,M,0.0,0.0
76,heapSort,10,C,0.0,0.0
77,heapSort,10,D,0.0,0.0
78,heapSort,10,A,0.0,0.0
79,heapSort,10,M,0.0,0.0
